board id	file id	design	level	batch position	accuracy	target	lag to typing	lag to description	reaction time	n tokens	n adjectives	n adverbs	n nouns
173	2422.jsonl	no_feedback	hard	1	1	I	-1	90	10	14	2	0	3
172	2422.jsonl	no_feedback	hard	2	1	Z	-1	64	15	16	2	0	4
198	2422.jsonl	no_feedback	hard	3	1	Y	-1	68	20	15	3	0	3
115	2422.jsonl	no_feedback	hard	4	1	W	-1	43	16	14	1	0	4
248	2422.jsonl	no_feedback	medium	5	0	Y	-1	48	25	10	0	0	4
171	2422.jsonl	no_feedback	hard	6	1	F	-1	31	8	8	1	1	2
284	2422.jsonl	no_feedback	medium	7	1	X	-1	20	10	9	0	0	3
225	2422.jsonl	no_feedback	medium	8	1	V	-1	24	16	9	0	0	2
290	2422.jsonl	no_feedback	medium	9	1	X	-1	20	6	8	1	0	2
105	2422.jsonl	no_feedback	hard	10	1	U	-1	21	9	9	1	0	3
187	2422.jsonl	no_feedback	hard	11	1	F	-1	11	4	4	2	0	1
96	2422.jsonl	no_feedback	easy	12	1	V	-1	17	5	7	1	1	2
80	2422.jsonl	no_feedback	easy	13	1	Y	-1	14	16	7	1	0	3
87	2422.jsonl	no_feedback	easy	14	1	I	-1	7	2	4	2	0	1
71	2422.jsonl	no_feedback	easy	15	1	Z	-1	8	94	3	1	0	1
208	2422.jsonl	no_feedback	medium	16	1	L	-1	12	6	6	1	0	2
44	2422.jsonl	no_feedback	easy	17	1	U	-1	8	2	4	1	0	2
99	2422.jsonl	no_feedback	easy	18	1	L	-1	7	2	4	0	0	1
162	2422.jsonl	no_feedback	hard	19	1	Z	-1	13	5	8	2	0	3
79	2422.jsonl	no_feedback	easy	20	1	P	-1	20	6	6	1	0	2
206	2422.jsonl	no_feedback	medium	21	1	X	-1	12	4	7	0	0	2
133	2422.jsonl	no_feedback	hard	22	1	P	-1	17	6	6	1	0	2
23	2422.jsonl	no_feedback	easy	23	1	L	-1	8	7	5	0	0	2
246	2422.jsonl	no_feedback	medium	24	1	W	-1	7	2	5	1	0	2
228	2422.jsonl	no_feedback	medium	25	1	V	-1	29	8	10	2	0	3
184	2422.jsonl	no_feedback	hard	26	1	W	-1	14	6	7	0	0	4
263	2422.jsonl	no_feedback	medium	27	1	X	-1	7	4	5	2	0	1
167	2422.jsonl	no_feedback	hard	28	1	Y	-1	16	7	9	1	0	2
11	2422.jsonl	no_feedback	easy	29	1	V	-1	13	3	4	1	1	1
81	2422.jsonl	no_feedback	easy	30	1	P	-1	26	9	7	2	0	2
264	2422.jsonl	no_feedback	medium	31	1	V	-1	13	4	7	1	1	2
251	2422.jsonl	no_feedback	medium	32	1	P	-1	18	3	5	0	0	1
240	2422.jsonl	no_feedback	medium	33	1	Z	-1	10	17	7	1	0	2
0	2422.jsonl	no_feedback	easy	34	1	T	-1	7	2	4	0	1	1
116	2422.jsonl	no_feedback	hard	35	1	Z	-1	16	6	9	0	0	3
237	2422.jsonl	no_feedback	medium	36	1	X	-1	16	12	8	2	0	2
22	2422.jsonl	no_feedback	easy	37	1	W	-1	35	17	8	0	0	3
59	2422.jsonl	no_feedback	easy	38	1	X	-1	12	9	8	1	0	3
104	2422.jsonl	no_feedback	hard	39	1	N	-1	16	9	10	1	0	4
298	2422.jsonl	no_feedback	medium	40	1	L	-1	14	5	10	2	0	2
128	2422.jsonl	no_feedback	hard	41	1	P	-1	18	13	8	0	0	3
150	2422.jsonl	no_feedback	hard	42	1	Z	-1	17	14	9	1	1	3
3	2422.jsonl	no_feedback	easy	43	1	I	-1	21	7	7	1	1	2
76	2422.jsonl	no_feedback	easy	44	1	I	-1	12	12	9	2	0	3
190	2422.jsonl	no_feedback	hard	45	1	X	-1	22	12	9	1	0	2
51	2422.jsonl	no_feedback	easy	46	1	N	-1	13	10	10	1	0	5
250	2422.jsonl	no_feedback	medium	47	1	F	-1	14	16	8	1	0	2
245	2422.jsonl	no_feedback	medium	48	1	T	-1	4	2	4	1	1	1
9	2422.jsonl	no_feedback	easy	49	1	Y	-1	10	8	8	1	0	2
213	2422.jsonl	no_feedback	medium	50	1	W	-1	11	4	7	2	1	2
239	2422.jsonl	no_feedback	medium	51	1	Z	-1	56	16	10	2	0	4
34	2422.jsonl	no_feedback	easy	52	1	U	-1	5	3	4	1	1	1
252	2422.jsonl	no_feedback	medium	53	1	X	-1	7	2	4	1	0	1
274	2422.jsonl	no_feedback	medium	54	1	P	-1	9	9	7	2	0	2
243	2422.jsonl	no_feedback	medium	55	1	U	-1	9	9	7	1	0	2
169	2422.jsonl	no_feedback	hard	56	1	Z	-1	11	4	4	2	0	1
214	2422.jsonl	no_feedback	medium	57	1	X	-1	19	3	4	0	0	2
41	2422.jsonl	no_feedback	easy	58	1	I	-1	5	5	4	2	0	1
93	2422.jsonl	no_feedback	easy	59	1	V	-1	12	4	5	1	0	2
260	2422.jsonl	no_feedback	medium	60	0	V	-1	7	11	5	3	0	1
296	2422.jsonl	no_feedback	medium	61	1	U	-1	19	6	6	1	0	2
163	2422.jsonl	no_feedback	hard	62	1	I	-1	14	18	9	2	0	3
94	2422.jsonl	no_feedback	easy	63	1	I	-1	13	5	8	3	0	2
212	2422.jsonl	no_feedback	medium	64	1	X	-1	7	13	4	0	0	2
19	2422.jsonl	no_feedback	easy	65	1	N	-1	10	10	4	1	0	2
12	2422.jsonl	no_feedback	easy	66	1	F	-1	15	14	8	1	0	3
54	2422.jsonl	no_feedback	easy	67	1	T	-1	16	6	5	2	0	2
141	2422.jsonl	no_feedback	hard	68	1	N	-1	9	12	9	2	0	3
221	2422.jsonl	no_feedback	medium	69	0	L	-1	18	15	9	0	0	3
13	2422.jsonl	no_feedback	easy	70	1	F	-1	13	6	7	1	0	2
222	2422.jsonl	no_feedback	medium	71	1	X	-1	10	5	5	0	0	3
49	2422.jsonl	no_feedback	easy	72	1	N	-1	12	10	7	2	0	3
207	2422.jsonl	no_feedback	medium	73	1	T	-1	12	7	7	1	0	2
191	2422.jsonl	no_feedback	hard	74	1	X	-1	16	6	12	0	0	3
126	2422.jsonl	no_feedback	hard	75	1	W	-1	21	11	9	1	0	2
31	2422.jsonl	no_feedback	easy	76	1	Y	-1	11	6	8	0	0	2
258	2422.jsonl	no_feedback	medium	77	0	U	-1	35	25	9	0	0	3
70	2422.jsonl	no_feedback	easy	78	1	N	-1	5	33	4	2	0	1
60	2422.jsonl	no_feedback	easy	79	1	W	-1	6	16	4	1	1	1
0	2447.jsonl	feedback	easy	1	1	T	-1	27	3	5	0	1	2
76	2447.jsonl	feedback	easy	2	1	I	-1	32	6	7	4	0	2
197	2447.jsonl	feedback	hard	3	1	N	-1	70	11	13	2	0	5
292	2447.jsonl	feedback	medium	4	1	X	-1	23	5	10	1	1	2
182	2447.jsonl	feedback	hard	5	1	L	-1	40	7	12	2	0	3
269	2447.jsonl	feedback	medium	6	1	V	-1	24	5	6	1	0	2
107	2447.jsonl	feedback	hard	7	1	W	-1	40	23	12	3	0	3
206	2447.jsonl	feedback	medium	8	1	X	-1	36	12	9	1	0	2
93	2447.jsonl	feedback	easy	9	1	V	-1	48	11	8	1	0	3
184	2447.jsonl	feedback	hard	10	1	W	-1	31	11	13	3	0	2
67	2447.jsonl	feedback	easy	11	1	P	-1	43	5	10	1	0	3
156	2447.jsonl	feedback	hard	12	1	I	-1	41	6	7	4	0	2
92	2447.jsonl	feedback	easy	13	1	Z	-1	17	4	3	1	0	1
14	2447.jsonl	feedback	easy	14	1	W	-1	14	3	4	1	0	1
245	2447.jsonl	feedback	medium	15	1	T	-1	9	4	4	0	0	1
286	2447.jsonl	feedback	medium	16	1	X	-1	13	2	3	1	0	0
225	2447.jsonl	feedback	medium	17	1	V	-1	87	9	18	2	0	5
104	2447.jsonl	feedback	hard	18	1	N	-1	22	7	9	3	0	3
82	2447.jsonl	feedback	easy	19	1	V	-1	12	2	5	2	0	2
83	2447.jsonl	feedback	easy	20	1	N	-1	11	15	7	0	1	2
157	2448.jsonl	confirm_selection	hard	1	1	V	-1	62	8	8	2	0	2
299	2448.jsonl	confirm_selection	medium	2	1	L	-1	35	26	9	4	0	2
132	2448.jsonl	confirm_selection	hard	3	1	I	-1	26	7	10	3	0	2
112	2448.jsonl	confirm_selection	hard	4	1	N	-1	71	14	12	4	0	1
90	2448.jsonl	confirm_selection	easy	5	1	V	-1	45	7	10	1	0	4
91	2448.jsonl	confirm_selection	easy	6	1	W	-1	6	3	2	1	0	1
216	2448.jsonl	confirm_selection	medium	7	1	Y	-1	13	3	5	2	0	1
79	2448.jsonl	confirm_selection	easy	8	1	P	-1	21	12	9	1	0	4
56	2448.jsonl	confirm_selection	easy	9	1	P	-1	6	2	2	0	0	2
73	2448.jsonl	confirm_selection	easy	10	1	L	-1	9	2	3	0	1	1
211	2448.jsonl	confirm_selection	medium	11	1	I	-1	27	4	6	2	0	2
16	2448.jsonl	confirm_selection	easy	12	1	I	-1	37	7	9	4	0	2
20	2448.jsonl	confirm_selection	easy	13	1	X	-1	17	6	7	0	1	3
253	2448.jsonl	confirm_selection	medium	14	1	Z	-1	31	12	13	2	1	4
187	2448.jsonl	confirm_selection	hard	15	1	F	-1	21	10	21	4	0	6
141	2448.jsonl	confirm_selection	hard	16	1	N	-1	42	8	9	2	0	2
266	2448.jsonl	confirm_selection	medium	17	1	W	-1	35	5	7	1	1	2
279	2448.jsonl	confirm_selection	medium	18	1	P	-1	30	8	7	2	1	2
106	2448.jsonl	confirm_selection	hard	19	1	Y	-1	21	13	10	2	2	3
14	2448.jsonl	confirm_selection	easy	20	1	W	-1	24	9	4	2	1	1
49	2464.jsonl	show_gripper	easy	1	0	N	-1	77	8	17	3	0	4
63	2464.jsonl	show_gripper	easy	2	0	L	-1	68	6	6	2	0	2
93	2464.jsonl	show_gripper	easy	3	0	V	-1	56	10	10	1	1	3
31	2464.jsonl	show_gripper	easy	4	1	Y	-1	98	30	13	3	0	2
261	2464.jsonl	show_gripper	medium	5	1	U	-1	30	9	9	1	1	2
105	2464.jsonl	show_gripper	hard	6	1	U	-1	35	21	19	1	0	4
85	2464.jsonl	show_gripper	easy	7	1	T	-1	42	11	10	2	0	3
136	2464.jsonl	show_gripper	hard	8	1	V	-1	46	12	15	2	0	2
226	2464.jsonl	show_gripper	medium	9	1	Z	-1	86	20	21	3	1	3
25	2464.jsonl	show_gripper	easy	10	1	N	-1	48	10	15	3	2	3
169	2464.jsonl	show_gripper	hard	11	1	Z	-1	100	44	27	5	1	5
114	2464.jsonl	show_gripper	hard	12	1	N	-1	54	13	21	3	1	3
244	2464.jsonl	show_gripper	medium	13	1	L	-1	56	13	18	1	0	3
284	2464.jsonl	show_gripper	medium	14	1	X	-1	61	19	12	2	0	3
103	2464.jsonl	show_gripper	hard	15	1	T	-1	65	40	34	5	1	5
283	2464.jsonl	show_gripper	medium	16	1	Z	-1	26	25	14	3	0	3
234	2464.jsonl	show_gripper	medium	17	1	P	-1	75	20	17	2	0	4
78	2464.jsonl	show_gripper	easy	18	1	P	-1	20	8	12	3	1	2
47	2464.jsonl	show_gripper	easy	19	1	Z	-1	20	22	9	2	1	2
138	2464.jsonl	show_gripper	hard	20	1	I	-1	63	15	21	1	1	2
147	2476.jsonl	feedback	hard	1	1	N	-1	52	12	15	2	0	4
244	2476.jsonl	feedback	medium	2	1	L	-1	33	13	11	1	0	3
297	2476.jsonl	feedback	medium	3	1	I	-1	22	8	8	2	0	2
264	2476.jsonl	feedback	medium	4	1	V	-1	27	5	8	2	0	2
20	2476.jsonl	feedback	easy	5	1	X	-1	19	3	8	1	0	2
26	2476.jsonl	feedback	easy	6	1	U	-1	16	3	7	2	0	2
276	2476.jsonl	feedback	medium	7	1	V	-1	39	11	9	0	0	2
49	2476.jsonl	feedback	easy	8	0	N	-1	19	10	8	3	0	2
151	2476.jsonl	feedback	hard	9	1	X	-1	21	10	7	2	0	2
163	2476.jsonl	feedback	hard	10	1	I	-1	26	9	6	2	0	2
2	2476.jsonl	feedback	easy	11	1	L	-1	16	4	6	2	0	2
43	2476.jsonl	feedback	easy	12	1	T	-1	15	4	6	1	0	2
103	2476.jsonl	feedback	hard	13	1	T	-1	40	8	12	3	0	4
21	2476.jsonl	feedback	easy	14	1	T	-1	36	12	16	5	0	4
161	2476.jsonl	feedback	hard	15	0	N	-1	35	26	14	0	0	5
9	2476.jsonl	feedback	easy	16	1	Y	-1	27	9	10	2	0	3
18	2476.jsonl	feedback	easy	17	1	Z	-1	30	15	12	3	0	3
222	2476.jsonl	feedback	medium	18	1	X	-1	20	12	7	2	0	3
259	2476.jsonl	feedback	medium	19	1	Z	-1	16	9	6	2	0	2
187	2476.jsonl	feedback	hard	20	1	F	-1	58	9	15	2	0	4
233	2477.jsonl	confirm_selection	medium	1	1	Z	-1	43	17	19	4	2	4
44	2477.jsonl	confirm_selection	easy	2	1	U	-1	72	10	25	1	3	2
242	2477.jsonl	confirm_selection	medium	3	1	W	-1	13	2	4	2	0	1
126	2477.jsonl	confirm_selection	hard	4	1	W	-1	70	21	33	3	2	4
7	2477.jsonl	confirm_selection	easy	5	1	Y	-1	31	22	18	3	3	4
98	2477.jsonl	confirm_selection	easy	6	1	U	-1	34	16	20	3	0	5
5	2477.jsonl	confirm_selection	easy	7	1	N	-1	39	23	20	5	2	4
141	2477.jsonl	confirm_selection	hard	8	1	N	-1	89	20	36	7	2	6
72	2477.jsonl	confirm_selection	easy	9	1	Z	-1	63	25	22	4	0	5
25	2477.jsonl	confirm_selection	easy	10	1	N	-1	45	9	23	3	2	3
128	2477.jsonl	confirm_selection	hard	11	1	P	-1	46	10	18	2	1	4
284	2477.jsonl	confirm_selection	medium	12	1	X	-1	41	37	25	6	2	4
261	2477.jsonl	confirm_selection	medium	13	1	U	-1	115	43	74	7	2	17
238	2477.jsonl	confirm_selection	medium	14	1	W	-1	40	11	28	7	1	5
55	2477.jsonl	confirm_selection	easy	15	1	L	-1	57	20	31	5	1	4
225	2477.jsonl	confirm_selection	medium	16	1	V	-1	84	25	52	11	2	8
162	2477.jsonl	confirm_selection	hard	17	1	Z	-1	49	33	33	6	0	7
194	2477.jsonl	confirm_selection	hard	18	1	Y	-1	95	48	32	6	3	8
172	2477.jsonl	confirm_selection	hard	19	1	Z	-1	73	67	82	11	2	17
9	2477.jsonl	confirm_selection	easy	20	1	Y	-1	82	62	42	6	0	7
174	2488.jsonl	show_gripper	hard	1	1	F	13	27	14	15	0	1	4
77	2488.jsonl	show_gripper	easy	2	1	W	8	10	31	19	0	0	5
61	2488.jsonl	show_gripper	easy	3	1	Y	13	33	14	20	3	1	3
45	2488.jsonl	show_gripper	easy	4	0	Y	9	48	15	27	2	0	5
28	2488.jsonl	show_gripper	easy	5	1	Y	12	36	12	20	2	0	5
18	2488.jsonl	show_gripper	easy	6	1	Z	12	66	24	23	0	0	5
66	2488.jsonl	show_gripper	easy	7	1	T	8	18	20	16	1	1	5
202	2488.jsonl	show_gripper	medium	8	0	Y	27	40	16	13	1	0	3
182	2488.jsonl	show_gripper	hard	9	1	L	12	45	19	15	2	0	4
235	2488.jsonl	show_gripper	medium	10	1	N	7	23	11	11	1	0	3
214	2488.jsonl	show_gripper	medium	11	1	X	11	35	9	10	0	0	3
69	2488.jsonl	show_gripper	easy	12	1	X	4	31	22	11	1	0	3
127	2488.jsonl	show_gripper	hard	13	1	L	4	13	60	33	2	5	8
247	2488.jsonl	show_gripper	medium	14	1	I	3	5	27	13	2	0	3
226	2488.jsonl	show_gripper	medium	15	1	Z	5	27	32	26	2	0	6
198	2488.jsonl	show_gripper	hard	16	1	Y	7	48	18	11	1	0	3
257	2488.jsonl	show_gripper	medium	17	1	W	9	27	8	13	0	1	4
145	2488.jsonl	show_gripper	hard	18	1	N	4	31	23	18	2	1	5
12	2488.jsonl	show_gripper	easy	19	1	F	7	29	16	17	3	0	4
140	2488.jsonl	show_gripper	hard	20	1	N	4	31	12	16	1	1	5
146	2489.jsonl	feedback	hard	1	1	W	11	33	18	18	2	0	4
66	2489.jsonl	feedback	easy	2	1	T	6	24	5	6	1	0	3
174	2489.jsonl	feedback	hard	3	1	F	11	45	10	24	6	0	3
271	2489.jsonl	feedback	medium	4	1	Y	7	26	4	8	2	0	3
118	2489.jsonl	feedback	hard	5	1	P	30	71	21	22	3	1	5
30	2489.jsonl	feedback	easy	6	1	L	10	59	14	18	2	1	3
133	2489.jsonl	feedback	hard	7	1	P	4	26	17	15	2	0	4
226	2489.jsonl	feedback	medium	8	1	Z	18	79	13	30	7	0	6
76	2489.jsonl	feedback	easy	9	1	I	14	71	15	11	5	0	2
74	2489.jsonl	feedback	easy	10	1	I	3	27	21	14	4	0	3
52	2489.jsonl	feedback	easy	11	1	N	8	15	16	5	1	0	2
299	2489.jsonl	feedback	medium	12	1	L	4	15	4	4	2	0	1
34	2489.jsonl	feedback	easy	13	1	U	3	5	2	1	0	0	0
90	2489.jsonl	feedback	easy	14	1	V	8	24	5	12	3	0	2
241	2489.jsonl	feedback	medium	15	1	P	4	22	12	8	2	0	2
62	2489.jsonl	feedback	easy	16	1	U	14	24	5	7	1	0	1
250	2489.jsonl	feedback	medium	17	1	F	8	35	17	9	2	0	3
117	2489.jsonl	feedback	hard	18	1	T	6	45	9	20	4	0	5
111	2489.jsonl	feedback	hard	19	1	Z	11	49	34	18	5	0	2
200	2489.jsonl	feedback	medium	20	1	N	7	48	19	25	4	2	5
2	2494.jsonl	confirm_selection	easy	1	1	L	12	25	4	7	1	0	2
139	2494.jsonl	confirm_selection	hard	2	1	V	6	37	4	10	1	0	2
175	2494.jsonl	confirm_selection	hard	3	1	Z	11	22	6	7	2	1	2
97	2494.jsonl	confirm_selection	easy	4	1	N	6	23	8	7	0	1	2
148	2494.jsonl	confirm_selection	hard	5	1	F	10	48	10	12	4	0	3
220	2494.jsonl	confirm_selection	medium	6	1	Y	10	31	7	8	2	0	2
192	2494.jsonl	confirm_selection	hard	7	1	U	9	44	5	11	4	0	0
34	2494.jsonl	confirm_selection	easy	8	1	U	6	29	2	7	0	2	1
209	2494.jsonl	confirm_selection	medium	9	1	P	17	30	19	21	4	2	2
96	2494.jsonl	confirm_selection	easy	10	1	V	6	38	8	9	2	1	3
90	2494.jsonl	confirm_selection	easy	11	1	V	5	33	7	12	3	1	4
21	2494.jsonl	confirm_selection	easy	12	1	T	6	50	5	12	2	0	5
193	2494.jsonl	confirm_selection	hard	13	1	T	13	33	4	8	2	0	1
298	2494.jsonl	confirm_selection	medium	14	1	L	17	59	7	9	1	0	3
270	2494.jsonl	confirm_selection	medium	15	1	Y	6	23	6	7	1	0	2
34	2494.jsonl	confirm_selection	easy	16	1	U	3	12	14	6	1	0	2
216	2494.jsonl	confirm_selection	medium	17	1	Y	2	15	6	9	2	1	2
263	2494.jsonl	confirm_selection	medium	18	1	X	4	15	4	7	1	1	2
135	2494.jsonl	confirm_selection	hard	19	1	W	25	74	30	21	4	1	7
86	2494.jsonl	confirm_selection	easy	20	1	T	4	19	5	11	3	0	4
283	2495.jsonl	show_gripper	medium	1	1	Z	10	17	30	16	4	0	1
81	2495.jsonl	show_gripper	easy	2	1	P	4	19	21	6	1	1	1
6	2495.jsonl	show_gripper	easy	3	1	F	23	85	36	62	6	1	11
59	2495.jsonl	show_gripper	easy	4	1	X	9	30	12	12	1	0	1
193	2495.jsonl	show_gripper	hard	5	1	T	4	51	9	15	1	1	3
40	2495.jsonl	show_gripper	easy	6	1	I	5	42	10	26	2	1	5
274	2495.jsonl	show_gripper	medium	7	1	P	7	23	14	17	0	0	4
86	2495.jsonl	show_gripper	easy	8	1	T	4	33	5	19	4	0	2
152	2495.jsonl	show_gripper	hard	9	1	F	7	37	15	15	3	1	2
50	2495.jsonl	show_gripper	easy	10	1	V	14	60	14	28	4	1	4
181	2495.jsonl	show_gripper	hard	11	1	W	12	45	11	14	2	0	3
117	2495.jsonl	show_gripper	hard	12	1	T	3	40	6	13	3	0	2
217	2495.jsonl	show_gripper	medium	13	1	T	12	54	13	24	1	0	2
137	2495.jsonl	show_gripper	hard	14	1	T	11	96	25	32	4	3	3
22	2495.jsonl	show_gripper	easy	15	1	W	7	32	14	15	2	0	3
116	2495.jsonl	show_gripper	hard	16	1	Z	2	14	10	10	0	0	2
215	2495.jsonl	show_gripper	medium	17	1	U	12	45	12	26	2	1	4
87	2495.jsonl	show_gripper	easy	18	1	I	3	15	4	7	1	0	0
267	2495.jsonl	show_gripper	medium	19	1	Y	9	36	9	5	0	0	2
205	2495.jsonl	show_gripper	medium	20	1	W	4	22	5	13	2	0	1
90	2496.jsonl	feedback	easy	1	0	V	19	33	5	7	1	0	2
81	2496.jsonl	feedback	easy	2	1	P	13	28	12	11	2	0	3
263	2496.jsonl	feedback	medium	3	0	X	7	20	9	5	2	0	1
65	2496.jsonl	feedback	easy	4	1	N	23	30	8	7	2	0	2
110	2496.jsonl	feedback	hard	5	1	N	9	25	7	8	2	0	1
252	2496.jsonl	feedback	medium	6	1	X	10	16	8	4	2	0	1
182	2496.jsonl	feedback	hard	7	1	L	12	26	8	8	1	0	2
144	2496.jsonl	feedback	hard	8	1	T	11	23	7	9	1	1	4
248	2496.jsonl	feedback	medium	9	0	Y	24	57	16	13	3	1	2
40	2496.jsonl	feedback	easy	10	1	I	6	21	10	4	1	0	0
239	2496.jsonl	feedback	medium	11	1	Z	17	25	7	5	4	0	1
82	2496.jsonl	feedback	easy	12	1	V	6	14	9	3	1	0	2
161	2496.jsonl	feedback	hard	13	1	N	14	36	35	14	2	0	3
28	2496.jsonl	feedback	easy	14	1	Y	16	34	13	7	1	0	2
198	2496.jsonl	feedback	hard	15	1	Y	7	28	13	10	4	0	4
295	2496.jsonl	feedback	medium	16	1	X	4	9	20	6	0	0	2
236	2496.jsonl	feedback	medium	17	1	W	11	29	9	12	3	0	4
103	2496.jsonl	feedback	hard	18	1	T	7	26	8	7	2	1	2
34	2496.jsonl	feedback	easy	19	1	U	3	9	7	3	0	0	1
43	2496.jsonl	feedback	easy	20	1	T	4	10	5	7	1	0	3
221	2559.jsonl	confirm_selection	medium	1	1	L	17	90	9	16	1	0	3
112	2559.jsonl	confirm_selection	hard	2	1	N	15	58	12	10	2	0	2
273	2559.jsonl	confirm_selection	medium	3	1	V	9	28	4	9	1	0	1
69	2559.jsonl	confirm_selection	easy	4	1	X	5	31	14	5	0	0	1
87	2559.jsonl	confirm_selection	easy	5	1	I	3	24	3	5	2	0	0
175	2559.jsonl	confirm_selection	hard	6	1	Z	6	50	7	12	2	1	2
98	2559.jsonl	confirm_selection	easy	7	1	U	8	34	4	11	2	0	2
163	2559.jsonl	confirm_selection	hard	8	1	I	8	102	13	22	5	2	3
68	2559.jsonl	confirm_selection	easy	9	1	W	8	31	4	6	1	0	2
295	2559.jsonl	confirm_selection	medium	10	1	X	3	8	3	2	0	0	0
88	2559.jsonl	confirm_selection	easy	11	1	F	3	41	6	18	4	1	4
42	2559.jsonl	confirm_selection	easy	12	1	N	10	34	8	9	1	0	1
239	2559.jsonl	confirm_selection	medium	13	1	Z	11	87	14	29	3	1	5
280	2559.jsonl	confirm_selection	medium	14	1	I	8	85	18	16	2	2	3
133	2559.jsonl	confirm_selection	hard	15	1	P	5	51	18	15	0	0	4
182	2559.jsonl	confirm_selection	hard	16	1	L	4	20	6	10	1	0	2
75	2559.jsonl	confirm_selection	easy	17	1	V	8	35	8	4	1	0	2
293	2559.jsonl	confirm_selection	medium	18	1	N	4	43	8	8	2	0	2
91	2559.jsonl	confirm_selection	easy	19	1	W	3	6	4	4	2	0	0
188	2559.jsonl	confirm_selection	hard	20	1	F	6	103	14	21	2	0	4
186	2563.jsonl	show_gripper	hard	1	1	X	4	22	11	19	1	1	5
211	2563.jsonl	show_gripper	medium	2	1	I	2	17	9	22	3	0	7
32	2563.jsonl	show_gripper	easy	3	1	N	2	34	13	31	3	2	9
71	2563.jsonl	show_gripper	easy	4	1	Z	2	27	8	26	4	0	6
292	2563.jsonl	show_gripper	medium	5	1	X	3	16	11	19	2	0	6
75	2563.jsonl	show_gripper	easy	6	1	V	3	17	8	22	2	0	6
135	2563.jsonl	show_gripper	hard	7	1	W	2	23	22	19	1	0	6
276	2563.jsonl	show_gripper	medium	8	1	V	1	13	15	20	2	0	7
106	2563.jsonl	show_gripper	hard	9	1	Y	1	23	13	20	3	0	7
85	2563.jsonl	show_gripper	easy	10	1	T	1	16	11	22	1	0	8
47	2563.jsonl	show_gripper	easy	11	1	Z	2	20	12	21	1	0	7
28	2563.jsonl	show_gripper	easy	12	1	Y	1	26	19	35	1	0	9
215	2563.jsonl	show_gripper	medium	13	1	U	2	22	9	28	1	2	7
182	2563.jsonl	show_gripper	hard	14	1	L	1	12	11	20	2	0	6
259	2563.jsonl	show_gripper	medium	15	1	Z	5	18	10	20	1	0	6
104	2563.jsonl	show_gripper	hard	16	1	N	3	20	11	25	1	1	7
